variant,model,n,micro_f1,macro_f1,precision,recall,jaccard,avg_latency_s
v11sc_seven_no_cot_desc,llama3.3-70b,461,0.8199,0.6795,0.7692,0.8441,0.6833,1.2
v01_five_cot_desc,llama3.3-70b,461,0.8153,0.6597,0.75,0.864,0.6766,1.1
v05_seven_no_cot_desc,llama3.3-70b,461,0.8134,0.6724,0.754,0.8515,0.6733,0.9
v08_five_no_cot_desc,llama3.3-70b,461,0.8124,0.6552,0.7527,0.8501,0.6715,0.9
v02_seven_cot_desc,llama3.3-70b,461,0.8098,0.675,0.7377,0.854,0.661,2.2
v09sc_five_cot_desc,llama3.3-70b,461,0.8098,0.6647,0.7431,0.8651,0.6693,2.9
v12sc_seven_cot_no_desc,llama3.3-70b,461,0.8098,0.6619,0.7397,0.8606,0.6676,1.4
v13sc_seven_cot_desc,llama3.3-70b,461,0.8094,0.6553,0.7471,0.8519,0.6656,2.2
v10sc_seven_no_cot_no_desc,llama3.3-70b,461,0.8054,0.6761,0.7358,0.8592,0.6617,1.0
v06_seven_cot_no_desc,llama3.3-70b,461,0.7995,0.6953,0.6902,0.9092,0.6513,1.0
v04_seven_no_cot_no_desc,llama3.3-70b,461,0.7989,0.6898,0.6845,0.9294,0.6543,1.1
v07_five_no_cot_no_desc,llama3.3-70b,461,0.7957,0.6862,0.6757,0.9333,0.6493,1.1
v14sc_ten_cot_desc,llama3.3-70b,461,0.7936,0.673,0.737,0.8204,0.6379,3.7
v03_ten_cot_desc,llama3.3-70b,461,0.7918,0.6689,0.7351,0.8192,0.636,3.8
v00_zero_cot_desc,llama3.3-70b,461,0.7226,0.4967,0.8223,0.6493,0.571,0.7
v15sc_zero_cot_desc,llama3.3-70b,461,0.7091,0.4982,0.823,0.6254,0.5538,0.7
