joss_id,title,language,predicted_categories,ground_truth,success,error,raw_response,latency_s
1361,SMACT: Semiconducting Materials by Analogy and Chemical Theory,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Hardware', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}
```",
4633,GNU Data Language 1.0: a free/libre and open-source drop-in replacement for IDL/PV-WAVE,C++,"['Software', 'Data Analytics', 'Modeling And Simulation']","['Data Analytics', 'Hardware', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Modeling And Simulation""]}",
7291,COHESIVM: Combinatorial h+/e- Sample Investigation using Voltaic Measurements,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}",
7155,Caliscope: GUI Based Multicamera Calibration and Motion Tracking,Python,"['Software', 'Ui', 'Modeling And Simulation']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Software"", ""Ui"", ""Modeling And Simulation""]}
```",
4045,Octopus Sensing: A Python library for human behavior studies,Python,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",
6515,"Pybehave: a hardware agnostic, Python-based framework for controlling behavioral neuroscience experiments",Python,"['Modeling And Simulation', 'Software', 'Hardware']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Hardware""]}",
5854,"PhysioLabXR: A Python Platform for Real-Time, Multi-modal, Brain–Computer Interfaces and Extended Reality Experiments",Python,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ui']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ui""]}",
4115,Cabana: A Performance Portable Library for Particle-Based Simulations,C++,"['Modeling And Simulation', 'Software', 'Data Analytics']","['Data Analytics', 'Hardware', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Data Analytics""]}",
6876,eVAS: A user-friendly electronic Visual Analogue Scale,Python,"['Software', 'Ui', 'Data Analytics']","['Data Analytics', 'Hardware', 'Ris', 'Software', 'Ui']",True,,"{""categories"": [""Software"", ""Ui"", ""Data Analytics""]}",
5182,Lightshow: a Python package for generating computational x-ray absorption spectroscopy input files,Python,"['Modeling And Simulation', 'Data Analytics', 'Software']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"```json
{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software""]}
```",
4741,activAnalyzer: An R Shiny app to analyse ActiGraph accelerometer data and to implement the use of the PROactive Physical Activity in COPD instruments,R,"['Data Analytics', 'Software', 'Ui']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Ui""]}",
786,iml: An R package for Interpretable Machine Learning,R,"['Modeling And Simulation', 'Data Analytics', 'Software Analytics']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software Analytics""]}",
1412,insight: A Unified Interface to Access Information from Model Objects in R,R,"['Software', 'Data Analytics', 'Modeling And Simulation']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Ui']",True,,"{""categories"": [""Software"", ""Data Analytics"", ""Modeling And Simulation""]}",
1247,SkyPortal: An Astronomical Data Platform,Python,"['Data Analytics', 'Software', 'Integrative Analysis']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Ui']",True,,"```json
{
  ""categories"": [
    ""Data Analytics"",
    ""Software"",
    ""Integrative Analysis""
  ]
}
```",
4987,signnet: An R package for analyzing signed networks,R,"['Data Analytics', 'Software', 'Modeling And Simulation']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software', 'Software Analytics']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Modeling And Simulation""]}",
5338,Crowsetta: A Python tool to work with any format for annotating animal vocalizations and bioacoustics data.,Python,"['Data Analytics', 'Software', 'Integrative Analysis']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software']",True,,"{""categories"": [""Data Analytics"", ""Software"", ""Integrative Analysis""]}",
