joss_id,title,language,predicted_categories,ground_truth,success,error,latency_s,raw_response
1361,SMACT: Semiconducting Materials by Analogy and Chemical Theory,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Hardware', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.17,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Ui"", ""Process""]}"
4633,GNU Data Language 1.0: a free/libre and open-source drop-in replacement for IDL/PV-WAVE,C++,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ris', 'Process']","['Data Analytics', 'Hardware', 'Integrative Analysis', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",True,,0.94,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ris"", ""Process""]}"
7291,COHESIVM: Combinatorial h+/e- Sample Investigation using Voltaic Measurements,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Ui', 'Process']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.15,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Ui"", ""Process""]}"
7155,Caliscope: GUI Based Multicamera Calibration and Motion Tracking,Python,"['Modeling And Simulation', 'Data Analytics', 'Ui', 'Software', 'Process']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.01,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ui"", ""Software"", ""Process""]}"
4045,Octopus Sensing: A Python library for human behavior studies,Python,"['Modeling And Simulation', 'Data Analytics', 'Ris', 'Software', 'Process', 'Ui', 'Hardware']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,1.23,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ris"", ""Software"", ""Process"", ""Ui"", ""Hardware""]}"
6515,"Pybehave: a hardware agnostic, Python-based framework for controlling behavioral neuroscience experiments",Python,"['Hardware', 'Software', 'Ui', 'Ris', 'Process']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",True,,0.79,"{""categories"": [""Hardware"", ""Software"", ""Ui"", ""Ris"", ""Process""]}"
5854,"PhysioLabXR: A Python Platform for Real-Time, Multi-modal, Brain–Computer Interfaces and Extended Reality Experiments",Python,"['Modeling And Simulation', 'Data Analytics', 'Ui', 'Software', 'Process', 'Ris']","['Data Analytics', 'Hardware', 'Modeling And Simulation', 'Ris', 'Software', 'Ui']",True,,1.02,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Ui"", ""Software"", ""Process"", ""Ris""]}"
4115,Cabana: A Performance Portable Library for Particle-Based Simulations,C++,"['Modeling And Simulation', 'Software', 'Process']","['Data Analytics', 'Hardware', 'Ris', 'Software', 'Software Analytics']",True,,0.68,"{""categories"": [""Modeling And Simulation"", ""Software"", ""Process""]}"
6876,eVAS: A user-friendly electronic Visual Analogue Scale,Python,"['Ui', 'Software', 'Hardware', 'Process']","['Data Analytics', 'Hardware', 'Ris', 'Software', 'Ui']",True,,0.69,"{""categories"": [""Ui"", ""Software"", ""Hardware"", ""Process""]}"
5182,Lightshow: a Python package for generating computational x-ray absorption spectroscopy input files,Python,"['Modeling And Simulation', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.93,"{""categories"": [""Modeling And Simulation"", ""Ris"", ""Software"", ""Process""]}"
4741,activAnalyzer: An R Shiny app to analyse ActiGraph accelerometer data and to implement the use of the PROactive Physical Activity in COPD instruments,R,"['Data Analytics', 'Ui', 'Ris', 'Software', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics', 'Ui']",True,,0.94,"{""categories"": [""Data Analytics"", ""Ui"", ""Ris"", ""Software"", ""Process""]}"
786,iml: An R package for Interpretable Machine Learning,R,"['Data Analytics', 'Software', 'Ris', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Software Analytics']",True,,0.76,"{""categories"": [""Data Analytics"", ""Software"", ""Ris"", ""Process""]}"
1412,insight: A Unified Interface to Access Information from Model Objects in R,R,"['Modeling And Simulation', 'Data Analytics', 'Software', 'Ris', 'Process']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Ui']",True,,1.05,"{""categories"": [""Modeling And Simulation"", ""Data Analytics"", ""Software"", ""Ris"", ""Process""]}"
1247,SkyPortal: An Astronomical Data Platform,Python,"['Data Analytics', 'Integrative Analysis', 'Ris', 'Software', 'Process', 'Ui']","['Data Analytics', 'Integrative Analysis', 'Modeling And Simulation', 'Process', 'Ris', 'Software', 'Ui']",True,,1.14,"{""categories"": [""Data Analytics"", ""Integrative Analysis"", ""Ris"", ""Software"", ""Process"", ""Ui""]}"
